ID,TITLE,DESCRIPTION,DURATION,STATUS,DATE PUBLISHED,KEYWORDS,VIDIQ SCORE,VIEWS,YT LIKES,YT COMMENTS,DESC LINK COUNT,DESC WORD COUNT,CREATOR SUGGESTED,ENGAGEMENT RATE
j7zbzHIrcaE,Susral Walon Ke Samne Wife Ko Roast Kar Diya 😱😂 | Aroob Se Dosti Ho Gai 😍,,-,public,-,,81.41927531639872,3696761,183K,0,0,0,7,2
cOyNy-GN9ik,"Eid Ke Din Wife Se Larai Hogai 😱 | Ghar Se Chale Gai 😭 |  R.s 500,000 Eidi For My Ducky Bhai Army 😍",,-,public,-,,88.28489711532292,4816255,247K,21K,0,0,8,3
syx4n4MBkA8,Aroob Ko Pink Car Ka Surprise De Diya 😍 | Susral Walon Ka Pink Gari Par Reaction 🤣,,-,public,-,,79.03587988585318,2131393,120K,0,0,0,8,3
U6EyVGMMPuw,Aroob Ki Gari Pink Kardi 😱😍 | Usko Bataya Bhi Nahi 🤣,,-,public,-,,81.42384011190347,2467108,143K,7.8K,0,0,6,3
Ghm_w8os6rA,Chotay Bhai Ke Exams Khatam Ho Gaye 😂 | Secret Magic Trick Reveal Kardi 😱,,-,public,-,,80.07395689828219,2167293,122K,0,0,0,9,3
BR_GHnSvOog,Eid Ki Shopping Done Ho Gai 😍 | Shop Wale Ne Free Mein Kapde De Diye 😱 | Galat Dress Le Liya 😭,,-,public,-,,82.85187537830245,2287656,130K,0,0,0,6,3
ieLNMdgRolI,Bachon Ka Ball Le Kar Bhag Geya 😂 | YouTubers Ki Iftari 😍,,-,public,-,,83.51819848675459,2001304,125K,3.7K,0,0,9,3
ua4RyqELPXg,Sharing My Biggest Secret 😱 | Meet My Twin Brother 💔,,-,public,-,,86.03366396,3904018,178K,22K,0,0,8,3
oHEs19lx0ZU,Fans Ne Mujhe Roast Kar Diya 💔 | Reading Hate Comments 😭,,-,public,-,,84.29289119,3590373,192K,0,0,0,7,3
ks3wz5fPa9E,Mama Ke Sath Scary Magic Trick Ki 😱 | Sab Heraan Ho Gaye 😭,,-,public,-,,78.80294518,2019715,132K,0,0,0,8,3
atPLXI1spUs,Aroob Aur Mama Ki Eid Ki Shopping Ho Gai 😍 | Aaj Ke Baad Larkiyon Ke Sath Shopping Nahi Karni 😭,,-,public,-,,77.72659700298846,2100025,133K,38K,0,0,6,3
upVXdNV6FkI,Ghar Par Koi Nahi Hai 😭 | Akele Iftari Karni Pari 💔,,-,public,-,,78.50774788612893,2515404,136K,5.6K,0,0,9,3
DiL0i4cPdUk,Gari Ki Seats Utar Ke Gari Chalai 😱 | Please Yeh Ghar Par Try Mat Karna 🙏🏼,,-,public,-,,81.11419101619347,2296767,138K,6K,0,0,7,3
k9GYVxQY8tk,Fans Ne Logon Ki Gari Tor Di 😱 | Uncle Ko Gussa Aa Geya 😡,,-,public,-,,82.75385823560491,2515984,152K,3.6K,0,0,7,3
lnNT7qvZvBc,Sistrology Wali Iqra Ki Taraf Se Iftari Ki Dawat 😍 | Iftar Ke Liye Late Ho Gaye 😱,,-,public,-,,83.20156807,2480162,134K,3K,0,0,9,3
V9zspY7Kl28,Iftari With My New Friend 😍 | Shirazi Village Vlogs & Muskan ❤️,,-,public,-,,78.60245554590679,2571053,156K,3.9K,0,0,7,3
s83hjPJgWSA,Chotay Bhai Ke Roze Ke Doraan Exams Shuru Ho Gaye 😱,,-,public,-,,75.83056268,2032644,123K,2.7K,0,0,11,3
OjPpuGNPLU4,Susral Walon Ke Liye Sehri Banai 😍 | Aroob Ki Mama Ko Bohot Pasad Aya ❤️,,-,public,-,,84.93052121790461,2560166,129K,3.3K,0,0,9,3
nw15bde7lzQ,Shadi Ke Baad Aroob Ne Pehli Baar Iftari Banai 😍 | Susral Walon Ka Bahu Pe Reaction 😱😂,,-,public,-,,85.97637887938617,3531629,160K,0,0,0,9,2
ASxShUmQ5kQ,Family Ke Liye Aaj Ki Iftari Mene Banai 😍 | Kisi Ko Pasand Nahi Aayi 😭💔,,-,public,-,,84.30012955170807,2615551,140K,4.5K,0,0,8,3
UY7iRZL-86s,Family Ke Sath Pehli Sehri Aur Iftari Ho Gai ❤️ | 5 Minute Ki Andar Sehri Karni Pari 😱,,-,public,-,,85.47260809265697,2514867,139K,0,0,0,10,3
hgcqcKINaic,Ramadan Ka Chand Nazar Aa Gaya 🌙 | Sehri Aur Iftar Ki Grocery Ho Gai 😍 | Ramadan Mubarak 2024 ❤️,,-,public,-,,76.47594084434466,2359504,142K,0,0,0,8,3
f6Boi5QeQxI,Aroob Ki Apni Mama Se 1 Month Baad Mulaqaat Hui 😍 | Emotional 💔 | Choti Baby Ke Liye Gifts Le Liye 🥳,,-,public,-,,82.45397147770807,1878046,110K,2.3K,0,0,9,3
gURrDWjuCuU,Grand Welcome In Pakistan 😍 | Finally Mama Aur Baba Ke Sath Ghar Wapis Aa Gaye ❤️,,-,public,-,,84.51538462320048,2015877,111K,2K,0,0,10,3
wFfh8QecFok,Last Day In Saudi Arabia 💔 | Duniya Ki Sab Se Khoobsurat Masjid ❤️ | Masjid Nabawi 😍,,-,public,-,,77.8822758,1306162,88K,0,0,0,8,3
JPQF704n9q8,Madinah Pohonch Gaye ❤️ | Ghar Walon Ke Liye Madinah Ki Khajoor Le Li 😍,,-,public,-,,77.73336610986622,1577484,96K,0,0,0,7,3
l6-868JXj5M,Family Ke Sath Umrah Kar Liya 🕋 | Alhamdulillah ❤️ | Mama Aur Baba Se Makkah Mein Mulaqaat Ho Gai 😍,,-,public,-,,77.53018448520214,2006854,135K,5.3K,0,0,6,3
Obn9FqFIDNI,Mama Aur Baba Hamein Chor Kar Chale Gaye 😭 | Umrah Karne Chale Gaye ❤️ | Aroob Emotinal Ho Gai 💔,,-,public,-,,81.71677705989318,1979902,106K,2.6K,0,0,9,3
ph3MvEgHTQU,Umrah Karne Nahi Jaa Sakte 💔 | Masla Ho Geya Bohot Bara 😭,,-,public,-,,75.67561392462073,1961161,114K,0,0,0,6,3
2huUIo4mxTA,My Wife Saying Yes To Me For 24 Hours 😂,,-,public,-,,86.59355331527111,2327375,136K,0,0,0,8,3
YZnDqCjQEDg,Khane Ki Table Hawa Mein Udd Gai 😱 | Dinner In The Sky In Dubai 😍,,-,public,-,,83.69942388600873,2504258,128K,2.9K,0,0,6,3
W4TrR-Ajxlw,Aroob Dubai Mein Gum Ho Gai 😱 | Poori Family Pareshan Ho Gai 😭,,-,public,-,,84.56925326937113,2551405,129K,0,0,0,10,3
8pZki97wExU,Surprising My Dad With A Brand New iPhone 15 Pro Max ❤️ | Bohot Khush Ho Gaye 😍,,-,public,-,,80.36840803020706,2319871,136K,0,0,0,14,3
zA_r5mk1DTs,Family Ke Sath Dubai Mein Snow Fall Dekhi 😍 | Aroob Dar Gai 😂 | First Time Penguin Se Mila 😍,,-,public,-,,84.64537386734838,2596675,127K,0,0,0,8,2
l4w6XdBx7hs,Meeting My Wife After A Long Time ❤️ | Poori Family Dubai Mein Aagai 😍,,-,public,-,,83.98049559300657,2226904,149K,0,0,0,8,3
pYiipr6Gtq0,Family Dubai Mein Land Ho Gai ❤️ | Mama Ne First Time Dubai Dekha 😍,,-,public,-,,85.30474046349926,2267994,142K,2.5K,0,0,6,3
WYUEStGXIQM,Family Trip Ki Packing Ho Gai 😍 | Chota Bhai Emotional Ho Geya 😭💔,,-,public,-,,84.34982475,1940221,127K,0,0,0,8,3
